,city_state,population,lat,lng
13345,"Carson, CA",92735.0,33.8374,-118.2559
18060,"Terre Haute, IN",92722.0,39.4654,-87.3763
12251,"Blacksburg, VA",92573.0,37.23,-80.4279
3152,"Portsmouth, NH",92513.0,43.058,-70.7826
2495,"Miami Beach, FL",92307.0,25.8171,-80.1396
13703,"Santa Monica, CA",92306.0,34.0232,-118.4813
3156,"Dover, NH",92234.0,43.1887,-70.8845
17529,"Carmel, IN",92198.0,39.9658,-86.1461
14115,"Hanford, CA",92066.0,36.3264,-119.6544
12717,"Lafayette, CO",91985.0,39.9949,-105.0997
20925,"Edmond, OK",91950.0,35.6689,-97.4159
18129,"Fishers, IN",91832.0,39.9589,-85.9665
14320,"Westminster, CA",91564.0,33.7523,-117.9938
20582,"Germantown, MD",91447.0,39.1755,-77.2643
20969,"Lawton, OK",91383.0,34.6176,-98.4203
27416,"Florence, SC",91311.0,34.1782,-79.7872
12994,"Livermore, CA",91030.0,37.6861,-121.7608
19675,"San Tan Valley, AZ",90665.0,33.1879,-111.5473
23008,"Lee's Summit, MO",90597.0,38.9172,-94.3816
13953,"Menifee, CA",90595.0,33.6909,-117.1849
14312,"San Leandro, CA",90553.0,37.7071,-122.1601
17309,"Albany, GA",90515.0,31.5776,-84.1762
28083,"Bowling Green, KY",90448.0,36.9715,-86.4375
4475,"Edinburg, TX",90280.0,26.3197,-98.1596
12184,"Suffolk, VA",90237.0,36.6953,-76.6398
26322,"Missoula, MT",90218.0,46.8685,-114.0095
13063,"Chino, CA",89797.0,33.9836,-117.6654
14644,"Auburn, AL",89577.0,32.6087,-85.4899
19257,"Fall River, MA",89420.0,41.7137,-71.1014
20006,"Norwalk, CT",89005.0,41.1144,-73.4215
15903,"Decatur, IL",88997.0,39.8556,-88.9337
19213,"Newton, MA",88994.0,42.3316,-71.2085
28663,"Rapid City, SD",88979.0,44.0716,-103.2205
17738,"Muncie, IN",88688.0,40.1989,-85.395
280,"Kirkland, WA",88630.0,47.6997,-122.2041
4491,"Sugar Land, TX",88485.0,29.5935,-95.6357
11446,"State College, PA",88285.0,40.791,-77.8568
2231,"Riverview, FL",88191.0,27.8227,-82.3023
2744,"Alafaya, FL",88025.0,28.5278,-81.1865
13920,"Citrus Heights, CA",87931.0,38.6948,-121.288
13563,"Hawthorne, CA",87854.0,33.9146,-118.3476
25080,"Jackson, MI",87819.0,42.2431,-84.4037
16513,"Waukegan, IL",87729.0,42.3697,-87.8716
23480,"O'Fallon, MO",87597.0,38.7851,-90.7177
14297,"Napa, CA",87032.0,38.2976,-122.3011
17025,"Dalton, GA",86841.0,34.7691,-84.9712
13331,"Whittier, CA",86838.0,33.9678,-118.0188
13842,"Redwood City, CA",86685.0,37.5026,-122.2252
27438,"Mount Pleasant, SC",86668.0,32.8533,-79.8269
3674,"Clifton, NJ",86607.0,40.8631,-74.1575
17651,"Anderson, IN",86481.0,40.0874,-85.692
23414,"Joplin, MO",86298.0,37.0759,-94.5006
13215,"Newport Beach, CA",86160.0,33.6151,-117.8669
24301,"Bloomington, MN",85866.0,44.8306,-93.3151
13979,"Alhambra, CA",85396.0,34.084,-118.1355
14528,"Hoover, AL",84920.0,33.3754,-86.8065
2103,"Largo, FL",84754.0,27.9088,-82.7712
5150,"Mission, TX",84424.0,26.204,-98.3251
5284,"Conroe, TX",84378.0,30.3224,-95.482
17020,"Johns Creek, GA",84350.0,34.0333,-84.2026
13212,"Lake Forest, CA",84293.0,33.6606,-117.6712
5166,"Bryan, TX",84021.0,30.6657,-96.3668
2756,"Town 'n' Country, FL",83879.0,28.0108,-82.576
25257,"Port Huron, MI",83841.0,42.9822,-82.4387
25110,"Troy, MI",83813.0,42.5818,-83.1457
12836,"Madera, CA",83636.0,36.964,-120.0803
21773,"Springfield, OH",83286.0,39.9297,-83.7957
14045,"Buena Park, CA",83015.0,33.8572,-118.0046
13011,"Pleasanton, CA",83007.0,37.6663,-121.8805
16731,"Cicero, IL",82552.0,41.8445,-87.7593
6089,"Alexandria, LA",82131.0,31.2923,-92.4702
2660,"Melbourne, FL",82011.0,28.1085,-80.6627
25242,"Westland, MI",81747.0,42.3192,-83.3805
13479,"Mountain View, CA",81438.0,37.4,-122.0796
19214,"Somerville, MA",81360.0,42.3908,-71.1013
11642,"Cranston, RI",81202.0,41.7658,-71.4858
25203,"Farmington Hills, MI",81050.0,42.486,-83.3771
26638,"Hattiesburg, MS",81036.0,31.3074,-89.317
13593,"Lakewood, CA",80967.0,33.8471,-118.1221
11647,"Warwick, RI",80871.0,41.7062,-71.4334
12255,"Williamsburg, VA",80855.0,37.2692,-76.7076
23904,"St. Joseph, MO",80818.0,39.7598,-94.821
343,"Auburn, WA",80776.0,47.3041,-122.211
24648,"Brooklyn Park, MN",80581.0,45.1112,-93.3505
2908,"Deerfield Beach, FL",80571.0,26.3049,-80.1277
13965,"Tustin, CA",80498.0,33.7309,-117.8106
16696,"Alton, IL",80462.0,38.9033,-90.1523
13310,"Chino Hills, CA",80374.0,33.9507,-117.7253
19269,"Lawrence, MA",80162.0,42.7003,-71.1626
5114,"Texarkana, TX",80145.0,33.4487,-94.0815
9460,"New Rochelle, NY",79946.0,40.9305,-73.7836
2239,"Fort Myers, FL",79943.0,26.6195,-81.8303
19450,"Goodyear, AZ",79858.0,33.2614,-112.3622
15340,"Springdale, AR",79599.0,36.1898,-94.1573
4460,"Pharr, TX",79487.0,26.1685,-98.1904
20542,"Silver Spring, MD",79483.0,39.0028,-77.0207
17227,"Valdosta, GA",79294.0,30.8502,-83.2788
13532,"Alameda, CA",79177.0,37.767,-122.2673
21738,"Parma, OH",79167.0,41.3843,-81.7286
4249,"New Braunfels, TX",79152.0,29.6997,-98.1148
17961,"Kokomo, IN",79099.0,40.464,-86.1277
22250,"Newark, OH",79025.0,40.0705,-82.4251
2982,"Cheyenne, WY",78728.0,41.1405,-104.7927
19774,"Flagstaff, AZ",78628.0,35.1872,-111.6195
24184,"Plymouth, MN",78395.0,45.0224,-93.4615
8507,"Franklin, TN",78321.0,35.9216,-86.8525
14632,"Florence, AL",78112.0,34.8303,-87.6654
12870,"Milpitas, CA",78106.0,37.434,-121.8921
13312,"Folsom, CA",78038.0,38.6669,-121.1422
16396,"Kankakee, IL",78001.0,41.102,-87.8643
10095,"Lebanon, PA",77973.0,40.3412,-76.4228
13658,"Perris, CA",77879.0,33.7899,-117.2233
13016,"Bellflower, CA",77772.0,33.888,-118.1271
2753,"Boynton Beach, FL",77702.0,26.5281,-80.0811
