,city_state,population
19353,"Scottsdale, AZ",249950.0
4705,"Killeen, TX",247489.0
19734,"Glendale, AZ",246709.0
7017,"Wilmington, NC",245910.0
2451,"Winter Haven, FL",245237.0
12081,"Norfolk, VA",244703.0
11663,"North Las Vegas, NV",242975.0
19374,"Gilbert, AZ",242354.0
3361,"Atlantic City, NJ",241363.0
19267,"Barnstable Town, MA",241132.0
11876,"Chesapeake, VA",240397.0
4444,"Irving, TX",240373.0
2488,"Hialeah, FL",239673.0
4581,"Garland, TX",238002.0
4221,"McKinney, TX",235134.0
13855,"Fremont, CA",234962.0
14204,"Visalia, CA",234573.0
11561,"York, PA",234245.0
494,"Kennewick, WA",232915.0
18072,"Evansville, IN",232285.0
11695,"Paradise, NV",231858.0
3166,"Nashua, NH",231262.0
12126,"Arlington, VA",229534.0
4201,"Brownsville, TX",227883.0
909,"Appleton, WI",222222.0
26618,"Gulfport, MS",221348.0
14135,"Thousand Oaks, CA",218729.0
19334,"Avondale, AZ",217192.0
13786,"San Bernardino, CA",216995.0
414,"Bremerton, WA",216480.0
12088,"Roanoke, VA",216177.0
6912,"Hickory, NC",215353.0
25295,"Kalamazoo, MI",214083.0
419,"Tacoma, WA",213418.0
13778,"Fontana, CA",211815.0
961,"Green Bay, WI",208625.0
4239,"College Station, TX",207308.0
13862,"Moreno Valley, CA",207226.0
4497,"Amarillo, TX",206072.0
20147,"Portland, ME",206023.0
7546,"Fargo, ND",204820.0
13570,"Santa Barbara, CA",204034.0
20042,"Norwich, CT",203916.0
14147,"Glendale, CA",203054.0
9501,"Yonkers, NY",202019.0
13349,"Huntington Beach, CA",201874.0
15532,"Aurora, IL",200965.0
2686,"Gainesville, FL",199695.0
164,"Olympia, WA",196078.0
2386,"North Port, FL",195992.0
11710,"Spring Valley, NV",195646.0
1798,"Huntington, WV",194155.0
2544,"Deltona, FL",194061.0
11747,"Sunrise Manor, NV",193854.0
4673,"Grand Prairie, TX",193837.0
13493,"Salinas, CA",193590.0
20074,"Waterbury, CT",191484.0
26090,"Overland Park, KS",191278.0
5814,"Waco, TX",188448.0
10771,"Erie, PA",188079.0
18468,"Cedar Rapids, IA",186160.0
20521,"Hagerstown, MD",185704.0
19701,"Tempe, AZ",185038.0
27503,"Spartanburg, SC",183184.0
8463,"Clarksville, TN",182849.0
7368,"Gastonia, NC",180974.0
21959,"Lorain, OH",180239.0
28664,"Sioux Falls, SD",180204.0
2838,"Fort Lauderdale, FL",180072.0
11974,"Newport News, VA",179388.0
6696,"High Point, NC",177874.0
13972,"Santa Cruz, CA",177556.0
13020,"Rancho Cucamonga, CA",177452.0
